date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:58:23	40488/40488	---MCZ	200	added ('OK')	text/html	date:Mon,%2011%20Apr%202016%2013:58:21%20GMT	http://www.sketchup.com/intl/en/developer/docs/tutorial_licensing	C:/Users/tthomas2/Desktop/SU-RubyAPI/SketchUp%20Ruby%20API%20Docs/www.sketchup.com/intl/en/developer/docs/tutorial_licensing.html	(from http://www.sketchup.com/intl/en/developer/index)
15:58:23	41584/41584	---MCZ	200	added ('OK')	text/html	date:Mon,%2011%20Apr%202016%2013:58:22%20GMT	http://www.sketchup.com/intl/en/developer/docs/classes	C:/Users/tthomas2/Desktop/SU-RubyAPI/SketchUp%20Ruby%20API%20Docs/www.sketchup.com/intl/en/developer/docs/classes.html	(from http://www.sketchup.com/intl/en/developer/index)
15:58:23	120511/120511	---M-Z	200	added ('OK')	text/html	date:Mon,%2011%20Apr%202016%2013:58:23%20GMT	http://www.sketchup.com/intl/en/developer/docs/methods	C:/Users/tthomas2/Desktop/SU-RubyAPI/SketchUp%20Ruby%20API%20Docs/www.sketchup.com/intl/en/developer/docs/methods.html	(from http://www.sketchup.com/intl/en/developer/index)
15:58:24	36690/36690	---M-Z	200	added ('OK')	text/html	date:Mon,%2011%20Apr%202016%2013:58:23%20GMT	http://www.sketchup.com/intl/en/developer/docs/utilities	C:/Users/tthomas2/Desktop/SU-RubyAPI/SketchUp%20Ruby%20API%20Docs/www.sketchup.com/intl/en/developer/docs/utilities.html	(from http://www.sketchup.com/intl/en/developer/index)
15:58:24	96979/96979	---M-Z	200	added ('OK')	text/html	date:Mon,%2011%20Apr%202016%2013:58:24%20GMT	http://www.sketchup.com/intl/en/developer/docs/ourdoc/sketchup	C:/Users/tthomas2/Desktop/SU-RubyAPI/SketchUp%20Ruby%20API%20Docs/www.sketchup.com/intl/en/developer/docs/ourdoc/sketchup.html	(from http://www.sketchup.com/intl/en/developer/index)
15:58:25	102079/102079	---M-Z	200	added ('OK')	text/html	date:Mon,%2011%20Apr%202016%2013:58:24%20GMT	http://www.sketchup.com/intl/en/developer/docs/ourdoc/model	C:/Users/tthomas2/Desktop/SU-RubyAPI/SketchUp%20Ruby%20API%20Docs/www.sketchup.com/intl/en/developer/docs/ourdoc/model.html	(from http://www.sketchup.com/intl/en/developer/index)
15:58:26	48333/48333	---M-Z	200	added ('OK')	text/html	date:Mon,%2011%20Apr%202016%2013:58:25%20GMT	http://www.sketchup.com/intl/en/developer/docs/ourdoc/attributedictionary	C:/Users/tthomas2/Desktop/SU-RubyAPI/SketchUp%20Ruby%20API%20Docs/www.sketchup.com/intl/en/developer/docs/ourdoc/attributedictionary.html	(from http://www.sketchup.com/intl/en/developer/index)
15:58:26	42298/42298	---M-Z	200	added ('OK')	text/html	date:Mon,%2011%20Apr%202016%2013:58:26%20GMT	http://www.sketchup.com/intl/en/developer/docs/ourdoc/animation	C:/Users/tthomas2/Desktop/SU-RubyAPI/SketchUp%20Ruby%20API%20Docs/www.sketchup.com/intl/en/developer/docs/ourdoc/animation.html	(from http://www.sketchup.com/intl/en/developer/index)
15:58:27	63486/63486	---M-Z	200	added ('OK')	text/html	date:Mon,%2011%20Apr%202016%2013:58:27%20GMT	http://www.sketchup.com/intl/en/developer/docs/ourdoc/color	C:/Users/tthomas2/Desktop/SU-RubyAPI/SketchUp%20Ruby%20API%20Docs/www.sketchup.com/intl/en/developer/docs/ourdoc/color.html	(from http://www.sketchup.com/intl/en/developer/index)
15:58:28	59838/59838	---MCZ	200	added ('OK')	text/html	date:Mon,%2011%20Apr%202016%2013:58:26%20GMT	http://www.sketchup.com/intl/en/developer/docs/ourdoc/camera	C:/Users/tthomas2/Desktop/SU-RubyAPI/SketchUp%20Ruby%20API%20Docs/www.sketchup.com/intl/en/developer/docs/ourdoc/camera.html	(from http://www.sketchup.com/intl/en/developer/index)
